0.001um,,0.01um,,0.1um,,1um,
X,Y,X,Y,X,Y,X,Y
0.011010982064002766,0.0075471414655925145,0.011126314258392762,0.07169261222663256,0.011486915892194607,0.5183601636142549,0.011813020736827317,0.9978062701053231
0.011544050569186965,0.008377331555633775,0.01172032748069393,0.07952293703843816,0.012100455061453776,0.5546356425636375,0.012444527842538078,0.99518014573739
0.012217889288272268,0.009517014762391963,0.012346033500893668,0.08844126461983869,0.012746820925359111,0.5892937891808945,0.013109805274749666,0.9912539129206855
0.012809426040408012,0.010512975676792215,0.013005158079568204,0.09818710589149078,0.013427739458552336,0.6241955565443076,0.013810621357134957,0.9903835224698918
0.013461339756035102,0.011737262822934882,0.0136995246915214,0.10833864879596239,0.014145082568197163,0.6573999642122479,0.01454893741544335,0.9856100182274959
0.014146474486008939,0.013040964192720475,0.014430916832442346,0.1201714832177688,0.014900780853977592,0.689942098588606,0.015326723863089035,0.98085952157987
0.014866462088206234,0.014517501987751926,0.01520141123009179,0.13253775890214228,0.015696925888643725,0.7187085180134578,0.016146064026233323,0.978707780724901
0.015623117337909128,0.016122223500430126,0.016013043805148963,0.14617658919104545,0.01653564986636321,0.745720617296933,0.017009251685114076,0.972280838791557
0.016418253979585296,0.017956304390880265,0.016868034302455304,0.16086525584638542,0.017419246598813803,0.7696804535325623,0.017918551726788245,0.9688704109274677
0.017294765354640033,0.019970065585739123,0.017768695264352784,0.17671917154839464,0.018350104707722404,0.7912759687521366,0.01887650388679584,0.9620854010738907
0.018175030022484696,0.02214537533315861,0.018717477629105382,0.19362460919957164,0.019330775881639214,0.8088457159387691,0.019885658593252014,0.9561875064036239
0.019054950728223025,0.02453391973842998,0.019716899663278987,0.21252031872978627,0.020363895722917857,0.8242673986771893,0.020948734674092435,0.9524151092324735
0.020024804873661053,0.02720636337764995,0.020769731860695854,0.23244185293851105,0.02145228919448913,0.8363017658439984,0.022068703165375715,0.9444999634206565
0.021093856995576078,0.03025749893597598,0.021878806790062405,0.2537845515065954,0.02259887923493265,0.8470223841087017,0.023248477154229858,0.9411869813434982
0.02222001878408125,0.03356224732361442,0.023047104785340413,0.27708692633955895,0.023806798687474918,0.855246846187763,0.030164121071256347,0.8991610124557182
0.02340627839232324,0.037293406689430195,0.024277835222461273,0.30160018838564706,0.02507927269758186,0.8640570424132942,0.031776625284240724,0.8979769828273567
0.02465595054629023,0.041221522654330864,0.025574308662392454,0.32784979691465777,0.026419744420427306,0.8738019438047196,0.03347535798856472,0.8956135989650792
0.025972250010237313,0.045824296666782775,0.02694007529816113,0.3551339528731533,0.027831898900178894,0.8818731684327652,0.03526468818397092,0.9019298231663742
0.02735892814710983,0.05062872916575955,0.02837878697486835,0.3845198086210362,0.029319539999465828,0.889732316820782,0.037149815879372605,0.9023260629481219
0.0288196022757434,0.05605986091741481,0.029894389624953825,0.4150591188453199,0.030886690084932833,0.8979769828273567,0.03913653759615724,0.8730858140788927
0.03035831948336226,0.061883052188276964,0.031490960922921175,0.44743395534063696,0.032537740272471506,0.9003466032890857,0.041229654555587684,0.8399831156100153
0.031979217368038264,0.06822117148693155,0.03317285537408437,0.48106459261763723,0.034277132683289926,0.8991610124557182,0.04343444052059058,0.8163408497590087
0.033686723719351705,0.07497756637323179,0.034944539177645645,0.5181325353471227,0.036109319468061785,0.9055022544313831,0.04575676246703427,0.8035342179086604
0.03548554813269579,0.08186197027142188,0.03681194266988642,0.5322024557901737,0.03803996600618281,0.8920801809016209,0.0482036346149819,0.7810267438941033
0.03738294693727439,0.0802950929960123,0.03878121673966904,0.5020032824366572,0.04007443565715971,0.8582573186328043,0.05078116265497473,0.7637310816908457
