0.001um,,0.01um,,0.1um,,1um,
X,Y,X,Y,X,Y,X,Y
0.011854302405142788,0.024736227530222445,0.010681472631783063,0.1986039427547562,0.06044233593451706,0.6881484089617047,0.06901215994394849,0.6144227212331593
0.012195946538203745,0.025583223686018557,0.010681472631783063,0.22879273296697608,0.061598137413257974,0.6923996342744825,0.07030805134726793,0.6202888546829924
0.012547436945610146,0.02650271264436796,0.010989315500336562,0.1939812429775389,0.06277604057019519,0.7001181318688414,0.0716040526709477,0.6246702173081891
0.01290905739959487,0.02658990862698893,0.011306030481845471,0.2006233781575209,0.06397646804207742,0.7184642253158338,0.07297329276865973,0.6308561655591207
0.013281099850781655,0.026985854363077457,0.01163187327295353,0.20715245349470107,0.06519985054747501,0.7400205885643619,0.07444421934947566,0.6359832794466219
0.013663864663888468,0.026765162180755073,0.011967106939549475,0.21389401067298108,0.0664466270413236,0.7594122972668063,0.07586777020133309,0.6407009404511086
0.014057660860224003,0.02763620603364437,0.012312002129150538,0.2204925437468436,0.06771724487242313,0.7754819120871032,0.07734469994787273,0.6470456368239124
0.014462806367172815,0.028535597086096032,0.012666837289407068,0.2258063534281672,0.06901215994394849,0.7918915694921749,0.07879705750103688,0.6534531630905422
0.014879628274870861,0.02948846294850124,0.013031898892904398,0.225250762326871,0.07033183687702958,0.8056658114084219,0.08030384498983943,0.659924141439253
0.015308463100278398,0.030348285524276254,0.01340748166844357,0.22673538557774767,0.07167674917745923,0.8206899095869302,0.08186713249799023,0.6664592002196678
0.01574965705886353,0.03128451634783645,0.01379388883898773,0.22766824003224517,0.07304737940558938,0.832910661260443,0.0833762045039716,0.6711666835300897
0.016203566344115804,0.03217028002944244,0.014191432366466042,0.2335382160605883,0.07444421934947566,0.8463552496656085,0.08499930211523267,0.6747191041305093
0.016670557415115438,0.03308112248455193,0.014600433203633061,0.2395595378302982,0.07586777020133309,0.8568447335445465,0.08662469129911801,0.6747191041305093
0.01715100729239029,0.034073668345318435,0.015021221553186689,0.24573610749247715,0.07731854273736602,0.8696038604560441,0.0882811617970065,0.6768519221975832
0.017645303862299688,0.03509599394787532,0.015454137134353948,0.2514517108921971,0.07879705750103688,0.8825529813223048,0.09006064991582001,0.675907417786872
